iter	Passed	Remaining
0	143	143334
1	146	73018
2	149	49584
3	152	38027
4	157	31330
5	164	27285
6	167	23810
7	169	20994
8	170	18804
9	174	17294
10	176	15873
11	182	14988
12	186	14180
13	190	13416
14	194	12772
15	197	12118
16	201	11625
17	205	11229
18	208	10785
19	209	10286
20	215	10030
21	218	9705
22	222	9445
23	227	9241
24	231	9015
25	234	8779
26	237	8571
27	239	8299
28	244	8170
29	249	8067
30	252	7899
31	255	7739
32	261	7668
33	263	7498
34	265	7322
35	268	7201
36	272	7092
37	276	7001
38	279	6898
39	284	6832
40	286	6708
41	290	6615
42	292	6517
43	298	6475
44	304	6452
45	307	6367
46	308	6265
47	314	6231
48	320	6226
49	326	6207
50	327	6098
51	338	6166
52	346	6183
53	350	6141
54	352	6057
55	357	6027
56	364	6030
57	365	5935858	372	59359	385	6046
6060	386	5946161	397	6014
62	398	5930
63	404	5922
64	411	5919
65	417	5904
66	420	5859
67	423	5809
68	427	5776969	431	57270	442	5787
71	446	5750
72	451	5736
73	457	5719
74	459	5666
7575	456	55576	469	5622
77	473	5599
78	479	5595
79	484	5571
80	489	5554
81	492	5515
82	495	5471
83	500	5453
84	509	5481
85	513	5459
86	519	5451
87	524	5439
88	529	5421
89	535	5416
90	538	5376
91	544	5369
92	549	5354
93	551	5311
94	555	5290
95	559	5267
96	562	5231
97	567	5227
98	573	5215
99	575	5178
100	579	5158
101	584	5147
102	588	5126
103	591	5097
104	598	5099
105	600	5062
106	603	5037
107	605	5001
108	609	4979
109	613	4964
110	616	4939
111	621	4931
112	627	4927
113	632	4915
114	637	4904
115	640	4884
11116	639	48211117	642	48011118	647	47911119	651	47712120	656	47612121	662	4765
122	667	4758
123	668	472124	680	4761
125	684	4749
126	690	4743
127	697	4750
128	702	4745
129	706	4727
130	711	4720
131	716	4709
132	720	4699
133	724	4683
134	727	4659
135	731	4645
13136	726	45713137	731	45613138	739	4578
139	743	4565
140	745	45414141	749	45214142	754	45214143	759	45114144	762	44914145	764	447146	775	4502
147	784	4516
148	787	4496
149	792	4489
150	794	4466
151	797	4446
152	802	4441
153	812	4463
154	827	4511
155	836	4524
156	838	4500
157	847	4516
158	849	4492
159	854	4486
160	860	4483
161	867	4484
162	875	4495
163	882	4497
164	889	4500
165	896	4502
166	902	4500
16167	896	44316168	902	443169	916	4475
170	920	4464
171	926	4461
172	931	4450
173	936	4444
174	938	44217175	942	44117176	946	440177	948	4381
178	951	4366
179	957	4361
180	962	4353
181	964	4337
182	968	4323
183	972	4314
184	976	4300
185	981	4294
186	986	4288
187	990	4277
188	993	4263
189	996	4248
190	1001	4242
191	1006	4234
192	1010	4226
193	1016	4222
194	1017	4201
195	1023	4197
196	1026	4185
197	1029	4170
198	1032	4156
199	1034	4139
200	1039	4133
201	1042	4119
202	1045	4102
203	1048	4093
204	1054	4087
205	1058	4078
206	1062	4070
207	1067	4063
208	1071	4053
209	1076	4051
210	1080	4041
211	1086	4037
212	1091	4034
213	1098	4032
214	1104	4031
215	1111	4035
216	1120	4042
217	1125	4036
218	1131	4033
219	1135	4025
220	1136	4006
221	1142	4002
222	1148	4001
223	1156	4006
224	1161	4000
225	1164	3988
226	1169	3983
227	1173	3974
228	1176	3959
229	1179	3947
230	1183	3939
231	1185	3925
232	1192	3926
233	1196	3917
234	1201	3912
235	1207	3909
236	1208	3891
237	1211	3879
238	1215	3871
239	1220	3863
240	1223	3853
241	1227	3844
242	1232	3838
243	1234	3825
244	1239	3818
